Title,Review,Rating Score
Lots of fun but G movies are becoming too cheesy...sigh,"As a hard-core Kaiju fan of many years, I love that we are being treated to all of these Godzilla movies as of late. My opinion of the first two in this series (Godzilla and Godzilla: King of the Monsters) is that they were (somewhat) reality based and not obviously made for children. My criticism of G v K (the ending in particular) and this movie is that so much of it is far-fetched and fantasy based. Much more cartoonish.The bottom line is, they're making the monsters out to have too much human intelligence when they should actually be more animalistic. This was like watching a superhero movie and in my opinion, making the monsters out to be superheroes is a huge mistake. That's what happened when Toho did this in the 60's/70's which resulted in Godzilla movies becoming silly, low-budget kids movies, which has since been ridiculed for decades and has tarnished Godzilla's image. I understand the writers are trying to be creative and give the fans something different from all of the other monster movies out there, but this can be done without all the cheese. Please stop making the monsters so human!I enjoyed the movie but have to admit that I am somewhat disappointed.",6
"Please, just remove humans from this","Monster = hurrah
Humans = garbageAnother Monster-Verse installment to the collection gave me another reason to visit my cinema. Luckily, I wasn't disappointed, I got everything what I expected which might be summoned by the two equations above.About humans:
If you want to watch the movie at home, don't waste time on humans subplot. It's completely pointless. The dialogues aren't funny or smart. They serve poor exposition which is painfully exhausting to watch. You see the monsters fighting and these ""characters"" are explaining in between: oh, he is protecting! - Come on, who wrote this? In my opinion if Legendary Studios wants to include humans, they should at least try making them just little interesting or just remove them completely. None of them is doing anything necessary, furthermore whatever they're doing doesn't make any sense. Why the hell are they in the Hollow Earth without protection? One guy is just in a Hawaiian shirt. The amount of dangerous monsters is not alarming, I guess... Paper Boy is filming everything but the British guy in a Hawaiian shirt says something like: It's better to keep it in a secret, this ancient civilization shouldn't be exposed to our world. The girl from Godzilla Vs. Kong (she is from that world and has weird X-Men power (?)) is among modern people, so the world already knows the underground world. What does he want to hide? There is more of this stupidity.About the monsters:
Kong is the lead. His journey is simple, he feels lonely, he wants to have a family of his kind. From the trailers you know, there is more giant apes, so I am happy to see them because I am Team Kong :) I'd want to appreciate the ""dialogues"" between Kong and this little ginger fella. They don't use words as we do but believe me, these two are more interesting than the humans. You will enjoy it.Godzilla and the rest are just monsters. Sadly Godzilla isn't intimidating in this movie, his only goal is to gain the pink level of nuclear power and then use it to fight the bad monkey. However, the fight scenes are awesome - this is why we are watching this type of movies, so if you're a fan of giant monsters, I recommend Godzilla x Kong: The New Empire... and don't expect to see raise of ""the new empire"" in this movie. It's a kinda awkward title generated by ChatGPT.",6
Project Powerhouse,"Lots of Titans fighting. That's why we go to something like this, right?G X K is about the same for entertainment wise as G vs K, though I'd give the newest entry a slight edge for a couple of reasons. For one, there's a bit less silliness. There's comic relief of course, but it's not out of place or goofy. The 80's throwbacks with the tunes, synths, and vibes were great. And lastly, the Titans were back to being the bad guys instead of humans. I always find it a bore when you watch a movie about monsters fighting, but have to bare through a story of human villains and their idiotic ideologies.A side note, it's hilarious that these Titans seem to really enjoy having their royal rumbles in the biggest cities on the planet, or while destroying some of the world's most revered structures. Like really guys, you couldn't have thrown down in the middle of the Sahara? More destruction equals more entertainment I suppose. Also, Godzilla just casually murders hundreds if not thousands just walking around from point A to point B. I digress. Go pink Zilla!",7
"A brainless, but (mostly) entertaining monster mash.","Releasing merely weeks after the critically and commercially acclaimed ""Godzilla Minus One"" won the Oscar for Best Visual Effects is a boon as well as bane for ""Godzilla x Kong: The New Empire"" - while more people are familiar with the behemoth radioactive lizard, there is an undeniable urge to draw comparisons between the two movies. Adam Wingard's second Monsterverse film following 2021's ""Godzilla vs Kong"" delivers satisfying Titan action, but overall, the film feels like a step back, largely owing to dull and tedious human drama.Personally, I found ""Godzilla vs Kong"" to be the best Monsterverse film. It embraced the absurdity and silliness of its premise and made the most of it to deliver one hell of a show, placing the Titans front and centre, while jettisoning any unnecessary human drama. ""Godzilla x Kong: The New Empire"" starts off much slower, with the actual plot taking nearly 20 minutes to kick in. Combined with an uptick in uninteresting human drama, this slows down the movie with certain portions feeling boring.Much like its predecessor, ""Godzilla x Kong: The New Empire"" struggles trying to the connect the stories of the two leading titans. Kong is the heart and soul of the movie, with Godzilla largely feeling like an accomplice or sidekick. The first half of the movie is almost entirely about Kong's exploration of Hollow Earth, the subterranean ecosystem where the Titans live. While learning about the mystical world was engaging and intriguing, it lead to a delayed introduction of the villain, leading to the third act feeling slightly rushed and less rewarding compared to the enthralling finale of ""Godzilla vs Kong"".The action sequences themselves are a whole lot of fun, with a face off in hollow earth with gravity slightly messed-up being one of my favourites of the entire franchise. The finale in Rio delivers plentiful excitement and fun too.""Godzilla x Kong: The New Empire"" is best suited for fans of the Showa era. For Kong fans(like myself), there is a lot to like about the movie, owing to the humanisation of the great ape. The action scenes are fun, colourful and campy, similar to it's predecessor, but an increased focus on human characters and a slower pace make this a slightly underwhelming entry to the Monsterverse.",6
"This movie should be called Monkey X Kong, which is more appropriate","The movie features very few scenes with Godzilla, only a few fragmented shots, including the final battle. Godzilla's total screen time is probably less than 7 minutes. The movie is filled with monkeys throughout, making it more like an independent Kong film because it barely depicts Godzilla, with Kong having far more screen time than Godzilla. I feel like Godzilla's role was forcefully added and feels disconnected from the rest of the movie. Also, the portrayal of SHIMO is superficial, failing to showcase its power, while Skar King is portrayed as a clown; it can't even defeat King Kong one-on-one, lacking a strong antagonist that leads to a rushed conclusion of the final battle. Finally, I have a big question: why do the director and writers like monkeys so much?",6
A bit of a Disappointment,"It serves up a berserk dreamscape with plenty of payoff to please the MonsterVerse faithful. Shame about the human stuff, though. Director Adam Wingard has a lot of fun with textures, colors, and camera work, and he's adept at giving fans the over-the-top monster action that they demand via an imposing new villain. Unfortunately, there's no time to spend on making things make sense or even matter all that much, and what few emotional punches are thrown lack the necessary wind up to connect, save for some very well done moments between Kong and his Hollow Earth kin.Overall didnt live up and the plot was mediocre at best.",
Big Budget B-Movie,"When me and my friends went to see the movie, i really enjoyed it but friends went over the moon for it. They gave it a solid 10/10, so for the audience that doesn't want anything serious - this is hella perfect.The story wasn't anything new that we haven't seen before but it serves the movie good. My biggest problem with it, was the human characters. Just like ""Godzilla vs Kong"", the characters are flat and i would rather watch monsters fight than them.The direction by Adam Wingard is pretty good. The action in particulat is really well done and you can really see what's going on.The actors were OK for the most part but for the script they are given, they are fine.Giant praise to the VFX. Everything looked amazaing and you can see that the money went in the place, not like ""Captain Marvel 2"" for example, which had a 300 million dollar budget and for the money, it looked awful.The music is good too. I wouldn't buy a soundtrack but it served the story.Overall if you just want to have fun for 2 hours, this movie is perfect.",7
Ummm..what?,"What's with all these 9 and 10 stars reviewers?????? It's now they paying people to give movies high praise???I went to cinema and i feel so uncomfortable the whole almost 2 hours time.The comedic thing put on the movie make this looks so cringe and corny!What? They want to transform the Monsterverse into a joke like Marvel? And the humans in this movie are all cringe, whyyyyy? Why they allow to transform every movie into a bad cringe/corny comedy? I don't want to see cringe/corny, i want to se some seriously dark movie about big monsters.4 stars just for some very decent special effects and that's all! THE 2014 VERSION ""GODZILLA""(2014) WAS the best! As well as the Kong: Skull Island! Now they transform Kong and Godzilla into some bad comediants! Don't listen to these 10 stars reviewers!",4
Godzilla sells out to be more commercially viable,"This movie has a real problem - It tries to cater to a wider audience by adding more 'Marvel type' action and storytelling rather than focus on doing what it could do really well and appeal to a more niche audience.The ""doing what it could do well"" part I am referring to is the BIGNESS of the Kaiju's / monsters. Not just their actions but their presence and size.. a bit of slowness in how they walk and move, to feel that ""thud"" when they take a step and the sheer overwhelming presence that they represent - Like in Pacific Rim or in Godzilla King of the Monsters. You FEEL the bigness and the size.A splash in the ocean can causes huge tide-waves due to the size.A resounding BOOM that is felt when two Kaiju's collide.Where is that?There is no respect paid to the bigness.It's just they took some superhero action sequences and applied them to giants and made them move like they were the same size as humans.There is no FEEL or BIGNESS - It's simply a 6 out of 10 movie because it caters ""enough"" to enough people because it goes for what's popular and throws a lot of it while giving away the depth and the ""feel"" of a big monster movie that is what godzilla is meant to be.",6
waste of time and space,"Without spoiling the movie: this was absolutely a waste of money.Yes Kong and Godzilla are in there and some other titans but epic battle? No!It gravitates towards avatar-esque mystical mumbo-jumbo. Tries to copy from many other movies, like music scenes from Guardians of the Galaxy; Jugnle danger from Jumanji; indigenous people mythology from Avatar; epic battle like Planet of the apes;Special effects did not wow me any second, maybe that's a good thing because everything else we see nowadays is just completely AI generated.If your kids want to go see it by all means, but otherwise it's a big let down.",4
A worthy entry in the MonsterVerse,"I don't know what I expected going in to see this at the cinema, but it wasn't this. I guess I expected more focus on the humans (again) and less on the Titans (again)...but this? This was not that. Yeah they had humans, but they were mostly more of a footnote in the story, which could have been almost completely told without the humans, but they did add a little flavour to the mix. Especially Dan Stevens. But then I AM kinda biased towards him as I've loved his work in everything I've seen him in so far.All that aside, Kong was great - and MASSIVE - and Godzilla was pretty damn impressive, too - and just as massive as Kong - but more than that, we got a look at a few other Titans as well, and they were ALL pretty impressively brought to life here. My ONLY gripe about Kong himself is that, in the early going the filmmakers tried to humanise him just that little but too much, and it kinda fell flat to me. Once things actually got moving and shaking, though, it all got a lot better.",8
"Who won? Legendary studios, & far from a minus one.","@somegeekguy-Wow, I'm just as surprised as you are reading this right now, believe me. My expectations were kind of meh, me personally, Godzilla Vs Kong (GVK) was OKAY, nothing special, maybe about a 6/10So who won this time in Godzilla X Kong & what is this New Empire?... well legendary studios of course!After a victorious achievement for Toho... we all know what we've come for here at legendary studios, & the results are definitely not a minus one...because this time we up the ante, and the people have spoken, we want this, legendary in this film is simply unlocking the massive cheese vault oozing into my optic stems, Godzilla X Kong: The New Empire is a hyper adrenaline rush energizer, it felt like my brain waves digested a high voltage energy drink kicking every inch of my brain cells.Dan Stevens is a solid comic relief along with Brian Tyree Henry. The jokes land a bit better this time around. The aura & creative decisions in this film have almost an 80's vintage vibrant feel, the music & color palette compliment each other perfectly along with cinematography.My issues? Well... why does the movie have Monarch being okay with bringing anybody down to hollow earth? Reliance on slight jumpy exposition, small things that could have been explored a little more to leave more an impact. It's not perfect for those, however I will argue this film was a lot closer to striking close to being perfect than you would think a film of this caliber could do.This is what happens when Cinematography, awareness, consistency & finding the footing on following Kaijus, gets the best of a cinematic experience, it's just as much a kaiju story as it is a human story & It's a Love Letter to the showa era & fans should be proud.I've never been more invested in the actual story of the kaijus until this movie, expositions & humans don't ruin it either this time. It's not anything special, but what is special are what we are here for, & that's the Kaijus.New Empire, by far, has the longest showtime for Kaiju action that I've ever seen in a monster flick. Beautifully shot cinematic camera scenes, there is one specific upside down shot unfolding to the right side up, just amazing cameraworkThe gradual building blocks embedded in the story left exciting awe in entertainment & care of handling Kaiju moments. The humans are just enhancers for the monsters. Compared to GVK, they have a better direction here without getting lost.It's a ride, took the issues of GVK & corrected it more, there's plenty of action if not more than you'd think... there's plenty of surprises, emotional character moments with humans/monsters, & although a not so perfect expositions still a solid fun plot/story following the elements at play... Godzilla X Kong was a lot better than I thought it was going to be & that's worth something.7.5 / 10.",6
