Title,Review,Rating Score
"A fun, dramatic, fantasty gulity pleasure.","As a 23 year old black dude, I actually liked this show. I honestly thought it was going to be a full on comedy, but it actually had a lot of dramatic themes. I won't lie when i watched the first two episodes, I was very, very confused as to why there were alot of black royals. I thought for a second that this was true, but if memories served me right, it wasn't. But then I began to understand that this is all fiction and a made-up fantasy on what if life was like this.
And I have to admit, I kinda liked it. Some people don't like the film because of it being politically incorrect. But there are HUNDREDS and HUNDREDS of period dramas that are more accurate than this. So why don't those people just go and watch those? I think people just want to complain about something because human beings are never satisfied. Even some of the greatest period dramas that are pretty historically accurate has it's fair share of haters. I didn't take it seriously. I just turned my brain off and enjoyed the fantasy.",7
Breathtakingly Beige,"If you're going to be historically inaccurate in a period romance for the sake of politically correct diversity - fine. You can be forgiven for that.If you want to argue that what you're writing is 'fiction' so you're entitled to write whatever you want - fine. It's true. You can.But.If you do, if you proceed to go where angels fear to tread, then you had better make damn sure the 'fiction' you're writing is amazing.Unfortunately, this Bridgerton adaptation by Shondaland is anything but. It has all the 'amazing' of beige wall paper in a beige room with beige furniture. You just get slapped in the face with all the disappointing beige.Shondaland has completely rewritten the best parts of ""The Duke and I"" and turned it into a generic shadow of its former glory. All that remains of the original story are bare bones.Just focusing purely on the story - the shows writing is uninspiringly generic, with tired old storylines introduced.Why???If it ain't broken, why fix it?The original story is amazing. It needed nothing. No fixing. And instead, Shondaland broke it.Pretty is all well and good on camera, but it's not enough to make a great show. A great show needs more. Where is the humour? Where the sparkling dialogue? Where the personality?Muscles, beauty and gratuitous sex do not chemistry create. Personality is sexy. Originality is sexy. Humour is sexy. Sexy things the book has in spades. Things this show has not been able to reproduce.But the worst atrocity Shondaland has committed?The characters. They lack character.They have been recreated as barely there shadows of what they are in the books. Almost all of them.Anthony: Unrecognisable. His treatment of Daphne, his surly immature moodiness, and his wanting to run off with an opera singer. Not Anthony. Anthony always put his family first in the books because he thinks he's going to die young like his father did. He would never have forced his sister to marry anyone. Anthony was charming, confident and kind.Daphne: In the books she was never ""a diamond of the first water"". Daphne had been out three seasons already. She was a very likeable, down to earth, easy to get along with, dark haired girl - not a clueless insipid vain blonde. Her friends were the wallflowers. All the gentlemen felt comfortable with her.Simon: In the show Simon is a bland generic hero. All muscles no brain. No real conversation. No humour. Simons famous stutter makes no appearance whatsoever, except as a child. Simon in the books is reserved but passionate, super smart, longing for family. He is thoughtful. In my opinion this actor had no emotional range. He was wooden. He actually made me yawn.Simon and Daphne together in the show are also uninspired, lacking real chemistry. In the books they sparked. They were funny. They made you love them as a couple.Colin: In the books Colin has a way of seeing into people. He is probably the sharpest and most insightful of all the Bridgertons. Colin in the show is a clueless puppy. And his hair is terrible.Violet: Where was Violets sparkle? Her moxie? In the books she is admired and adored by all her children. Violet has a sly sense of humour, especially when it comes to match making. She outwitted her children. She knew what she was about. She is a respected leader in society. She made things happen. Violet is not the worried lip-biting unsure mother the show has given us.Lady Danbury: In the books Lady D is sassy, opinionated, and scathing. She says things to throw people off balance. She's feared in general. She's a menace with her cane. The shows Lady D is too refined, too tactful, too nice. Lady D did not openly play match maker with Violet.Lady Whistledown: She is witty - never truly mean or cruel, which turns out to be Penelopes saving grace in the end. We loved reading Lady Whistledowns humorous observations in the book. The ton eventually see it as a right of passage in society to be mentioned by her. But in the show, they paint her petty, cruel and hated.Bridgerton Family: The family in the books is loud, boisterous, irreverent, loving and fun. They joke, tease, talk, play and are fiercely loyal to each other. They are all friends, which makes them differ from the usual ton families. In the show, that family makes very little appearance. The family of the show is (for at least 6 out of the 8 episodes), shallow, vain, fraught, disjointed, uncommunicative, distant and, to be honest, a bit annoying. This is not the Bridgerton family of the books.In short, many of the 'read the books once a year for years' fans, will, like me, be very disappointed with this series. Some adaptation is always expected - but an almost complete rewrite?Make no mistake about it, Shondaland has rewritten, dismantled or removed the majority of the best parts of 'The Duke and I' for this show.Let's hope they do better with season two.",7
Mainstream Wattpad Historical Romance,"Let me just start that I am a fan of the books so I am watching this as I did when I watched all the live actions of Pride and Prejudice, with eyes finally getting my wish of seeing my fave books come to life, and I was not disappointed. Is it a masterpiece? NOT AT ALL. Is it accurate to the books? Not so much but they did get the heart of it. There's a lot of issue I find with it but somehow I still find myself watching it because I love the genre.To note: If you are into the ACCURATE retelling of history then I'm telling you right now SKIP THIS. This isn't about the accurate retelling of history. So if the ""diversity"" and ""wokeness"", the designs of their costumes, the way they acted takes you away from the story because of inaccuracy then you will have a bad time. This isn't a documentary. This isn't a biography. This isn't a true story.Now first of, the books star different siblings so each season will focus on different Bridgerton with splice inserts of side stories. S1 is more steamy and shoves a more lustful play on their romance it's a fake love turned real love trope. S2 is a slow burn and might be boring for some as it is less steamy, it's an enemies to lovers trope.Now. If you're into the book series do give this a try! Of course it wouldn't be 100% accurate but I did feel that it was very true in how romance book genre goes. It's like a whimsical romance. Glazed over. Or whatever term. Something like those Hallmark Christmas romance movies but with more mature scenes. Modern music made classical. They really brought to life the family dynamic of the Bridgertons. I love how they interact with one another as a family.Finally. If you're just looking for a Pride and Prejudice or historical setting romance show then do give this a try! You might just like it.",8
Not as bad as many reviews say,"I read a lot of negative reviews. Especially about the characters that do not correspond to the era. To be honest, I think you shouldn't be too heavy on that. It's fiction and it just looks good. It is a shame that the first episode is the least fun. This would almost make you stop watching. Fortunately, I looked further, which I certainly do not regret. It seems nice and I am looking forward to season 2.",8
It is entertainment,"This is not a quality Jennifer Ehle/Colin Firth Pride and Prejudice type series, or downton abbey. This show is an exaggeration of those kinds of tales and it is pure fantasy, using the back drop of victorian english high society. Do not take it seriously and enjoy it for what it is. It really highlights the absurdity of that time period as well. I love the pride and prejudice series I mentioned above and to me this movie was like a guilty pleasure version of that kind of genre. Costumes are beautiful and they threw in some modern music played classically, so really, this show is not taking itself seriously as a period piece, and is clearly just having fun. Have fun with it and enjoy the eye candy.",7
2nd Season,"Usually I find myself disappointed by second seasons of shows, especially when the first is so good, and as such did not have the highest of hopes heading into season 2. Having recently completed it I can confidently say that it's better than season one. What about it made it better I cannot say, though I am a sucker for forbidden romance and the removal of those awful sideburns made Anthony 10x hotter. The second season is a must watch with a thrilling slow burn and an incising story. I cannot wait to see how this show plays out and stand witness to each Bridgerton siblings season and the pages of gossip it will bring.",9
"Best Actress ""Claudia Jessie"".","Claudia Jessie played Eloise with extreme class. Hope she continues to ""stun the stage"" in her future acting career!",7
An excellent cumulative of YEARS of waiting for this.,"Here are my thoughts#1. I have to note that I had reservations about this when I first saw the casting of Simon and other POC actors. As a black women I didn't know if it was pandering to my ethnic group or if it was for genuine inclusivity. And after seeing Simon on screen I must say that he is PERFECT!! I literally can't picture him otherwise (and I've been picturing him for over a decade. (I also have to say the same for lady D))#2. I was surprisingly pleased with the Marina character (btw she's not new to the series. Just early). She will fit in like a puzzle.#3. I'm enjoying how flushed out Anthony is. I admit he was a little 1D for the first book since he wasn't a main character so I appreciate that tv allows him more dimension and build up.#4. The rest of the siblings are excellent too. The seeds of their characters are coming through.5. The visuals, directing, and music reminds me of a TRUE historical romance book. This doesn't feel like a made for tv show. I love how they managed to make the colors so beautiful and vibrant unlike other historical romance movies/shows that have everything ""accurately"" bleak.This series was my very first introduction to the romance genre of books when I was a little girl and I could not have asked for a better pilot episode. The characters, the chemistry, the intrigue, the intensity (this list goes on and on) is exactly how I pictured it and how I felt when I first read this series years ago.To all those that worked on this series , everyone from the actors to the crew, your artistic talent has not just made beautiful period piece show. No, your artistic talent has magically translated all the beautiful things I love about historical romance books and the writing of arguably the most famous HR author of modern times perfectly to the screen and to that I thank you from the bottom of my heart.",10
Well that went over like a turd in the punchbowl.,"WARNING, SPOILERS!I love the show. I do, but this was a bit of a letdown.They led us in a direction they didn't follow through with.I don't think I was the only one under the impression Lord Debling would be head over heeels for Pen. It was disappointing to not see her get that adoration. I just don't understand the thinking there.Our girls glow-up deserved more. This too was a letdown. At least one Lord should have been giving Colin a run for his money.I did not like at all whorey boy Colin.We should have watched them innocently fumble through the blossom of young love. Colin is not a rake. It was kind of gross.I did enjoy the introduction of Francesca and the sweet nature they gave her. It will pay dividends in the future is they don't screw it up like the fake rake.I thought the Fetherington girls were hilarious these first 4. They had some great lines and Mrs F. Never disappoints.I was really hoping either she or Mrs. B. would be given a true blue love interest that would tease to knock our socks off. They are both amazing actresses. There are so many possibilities there.One more thing. Why on earth was Colin celebrated the hero when Debling literally saved Pens life? She's not a worthy enough treasure to leave the ton swooning at her rescue?Some of the little side stories they are building just took up what could have been more Colin and Pen time.It was sorely lacking. We had no big build up like the last two couples.We all know the importance of forplay before the big scene and they stole that from us. That's what I'm most dissatisfied about.I will continue to watch of course like everyone else and hope for more meet and potatoes but I'm afraid it will be more along the lines of kippers and mash.",7
Dashing,"Eloise and Lady Danbury are by far my favorites but I liked it all overall, quite different than the book but keeping essential plots and the essence.
I do love the diverse casting.",10
